ID,Year,Month,Total,Travel_Method,Count
201209,2012,9,27321,Foot,23266
201210,2012,10,18091,Foot,15897
201211,2012,11,4170,Foot,3778
201212,2012,12,1483,Foot,1394
201301,2013,1,806,Foot,760
201302,2013,2,1382,Foot,1260
201303,2013,3,7228,Foot,6681
201304,2013,4,11532,Foot,9865
201305,2013,5,25205,Foot,22038
201306,2013,6,29374,Foot,24144
201307,2013,7,36559,Foot,32356
201308,2013,8,46726,Foot,40415
201309,2013,9,30894,Foot,26768
201310,2013,10,19607,Foot,17836
201311,2013,11,4907,Foot,4516
201312,2013,12,1659,Foot,1548
201401,2014,1,906,Foot,862
201402,2014,2,970,Foot,945
201403,2014,3,3150,Foot,2877
201404,2014,4,17347,Foot,15442
201405,2014,5,27354,Foot,24075
201406,2014,6,33021,Foot,28274
201407,2014,7,39581,Foot,35640
201408,2014,8,51218,Foot,44918
201409,2014,9,34457,Foot,30314
201410,2014,10,23205,Foot,21371
201411,2014,11,4803,Foot,4488
201412,2014,12,1870,Foot,1733
201501,2015,1,1217,Foot,1158
201502,2015,2,1544,Foot,1468
201503,2015,3,5080,Foot,4806
201504,2015,4,17721,Foot,16180
201505,2015,5,31076,Foot,27088
201506,2015,6,35923,Foot,31442
201507,2015,7,44794,Foot,41161
201508,2015,8,54794,Foot,49194
201509,2015,9,37429,Foot,33588
201510,2015,10,25576,Foot,23785
201511,2015,11,5228,Foot,4923
201512,2015,12,2062,Foot,1911
201601,2016,1,1304,Foot,1274
201602,2016,2,1733,Foot,1648
201603,2016,3,11067,Foot,10348
201604,2016,4,15100,Foot,13854
201605,2016,5,32776,Foot,29790
201606,2016,6,39070,Foot,34758
201607,2016,7,45471,Foot,42047
201608,2016,8,53704,Foot,48661
201609,2016,9,40149,Foot,36557
201610,2016,10,28222,Foot,26341
201611,2016,11,6394,Foot,6061
201612,2016,12,2864,Foot,2686
201701,2017,1,1354,Foot,1299
201702,2017,2,1696,Foot,1639
201703,2017,3,5176,Foot,4902
201704,2017,4,26925,Foot,24845
201705,2017,5,35347,Foot,32377
201706,2017,6,41619,Foot,37928
201707,2017,7,47470,Foot,44036
201708,2017,8,57680,Foot,53349
201709,2017,9,42189,Foot,38938
201710,2017,10,31341,Foot,29442
201711,2017,11,7346,Foot,7009
201712,2017,12,2893,Foot,2726
201801,2018,1,1627,Foot,1576
201802,2018,2,2181,Foot,2081
201803,2018,3,11056,Foot,10720
201804,2018,4,22068,Foot,20795
201805,2018,5,40665,Foot,37689
201806,2018,6,45685,Foot,41857
201807,2018,7,50867,Foot,48035
201808,2018,8,60415,Foot,56421
201809,2018,9,47006,Foot,43645
201810,2018,10,35602,Foot,33489
201811,2018,11,7651,Foot,7300
201812,2018,12,2553,Foot,2455
201901,2019,1,1651,Foot,1599
201902,2019,2,2119,Foot,2063
201903,2019,3,7474,Foot,7118
201904,2019,4,31722,Foot,30113
201905,2019,5,46673,Foot,43834
201906,2019,6,49058,Foot,44860
201907,2019,7,53319,Foot,50648
201908,2019,8,62814,Foot,58921
201909,2019,9,45653,Foot,43021
201910,2019,10,36118,Foot,34553
201911,2019,11,8274,Foot,7951
201912,2019,12,2710,Foot,2607
202001,2020,1,2001,Foot,1935
202002,2020,2,3076,Foot,2962
202003,2020,3,1948,Foot,1890
202006,2020,6,12,Foot,12
202007,2020,7,9752,Foot,8998
202008,2020,8,19812,Foot,17988
202009,2020,9,10441,Foot,9302
202010,2020,10,6418,Foot,5824
202011,2020,11,585,Foot,559
202012,2020,12,99,Foot,87
202101,2021,1,60,Foot,57
202102,2021,2,14,Foot,12
202103,2021,3,194,Foot,187
202104,2021,4,1024,Foot,996
202105,2021,5,4295,Foot,3898
202106,2021,6,14824,Foot,13277
202107,2021,7,33963,Foot,31763
202108,2021,8,43575,Foot,41332
202109,2021,9,37463,Foot,35150
202110,2021,10,31170,Foot,29236
202111,2021,11,9094,Foot,8679
202112,2021,12,1193,Foot,1168
202201,2022,1,1617,Foot,1585
202202,2022,2,2034,Foot,1959
202203,2022,3,7389,Foot,7177
202204,2022,4,34283,Foot,32674
202205,2022,5,48254,Foot,45264
202206,2022,6,58012,Foot,53359
202207,2022,7,67374,Foot,63952
202208,2022,8,85842,Foot,81945
202209,2022,9,66196,Foot,62228
202210,2022,10,51356,Foot,48788
200401,2004,1,643,Bicycle,44
200402,2004,2,1401,Bicycle,73
200403,2004,3,3105,Bicycle,201
200404,2004,4,15554,Bicycle,1282
200405,2004,5,16860,Bicycle,2363
200406,2004,6,19295,Bicycle,3476
200407,2004,7,31891,Bicycle,3404
200408,2004,8,45601,Bicycle,5229
200409,2004,9,22752,Bicycle,3191
200410,2004,10,14556,Bicycle,1496
200411,2004,11,4410,Bicycle,308
200412,2004,12,3802,Bicycle,183
200501,2005,1,269,Bicycle,24
200502,2005,2,565,Bicycle,26
200503,2005,3,3121,Bicycle,321
200504,2005,4,3307,Bicycle,329
200505,2005,5,9310,Bicycle,1920
200506,2005,6,12619,Bicycle,3039
200507,2005,7,18804,Bicycle,2918
200508,2005,8,24831,Bicycle,4991
200509,2005,9,12168,Bicycle,2348
200510,2005,10,6873,Bicycle,905
200511,2005,11,1388,Bicycle,118
200512,2005,12,668,Bicycle,44
200601,2006,1,324,Bicycle,23
200602,2006,2,351,Bicycle,22
200603,2006,3,1096,Bicycle,72
200604,2006,4,7451,Bicycle,1135
200605,2006,5,10147,Bicycle,1862
200606,2006,6,13011,Bicycle,3112
200607,2006,7,18720,Bicycle,2925
200608,2006,8,26183,Bicycle,5274
200609,2006,9,13470,Bicycle,2749
200610,2006,10,7700,Bicycle,991
200611,2006,11,1755,Bicycle,168
200612,2006,12,848,Bicycle,65
200701,2007,1,350,Bicycle,28
200702,2007,2,665,Bicycle,27
200703,2007,3,1680,Bicycle,138
200704,2007,4,8115,Bicycle,1283
200705,2007,5,12924,Bicycle,2197
200706,2007,6,15182,Bicycle,3136
200707,2007,7,20156,Bicycle,3150
200708,2007,8,27289,Bicycle,5297
200709,2007,9,15282,Bicycle,2925
200710,2007,10,9443,Bicycle,1274
200711,2007,11,2496,Bicycle,259
200712,2007,12,795,Bicycle,51
200801,2008,1,306,Bicycle,18
200802,2008,2,703,Bicycle,46
200803,2008,3,5327,Bicycle,628
200804,2008,4,5648,Bicycle,826
200805,2008,5,16001,Bicycle,3150
200806,2008,6,15904,Bicycle,3293
200807,2008,7,21066,Bicycle,2937
200808,2008,8,29996,Bicycle,5741
200809,2008,9,17378,Bicycle,3224
200810,2008,10,9878,Bicycle,1097
200811,2008,11,2309,Bicycle,193
200812,2008,12,1085,Bicycle,94
200901,2009,1,523,Bicycle,32
200902,2009,2,698,Bicycle,62
200903,2009,3,1850,Bicycle,249
200904,2009,4,10316,Bicycle,1395
200905,2009,5,16498,Bicycle,3050
200906,2009,6,19354,Bicycle,3883
200907,2009,7,26752,Bicycle,4143
200908,2009,8,35546,Bicycle,6649
200909,2009,9,20623,Bicycle,3751
200910,2009,10,11731,Bicycle,1576
200911,2009,11,2353,Bicycle,215
200912,2009,12,1010,Bicycle,122
201001,2010,1,1188,Bicycle,51
201002,2010,2,1640,Bicycle,103
201003,2010,3,5883,Bicycle,415
201004,2010,4,19587,Bicycle,2085
201005,2010,5,28846,Bicycle,4073
201006,2010,6,33756,Bicycle,5710
201007,2010,7,42466,Bicycle,4622
201008,2010,8,61534,Bicycle,7644
201009,2010,9,36848,Bicycle,5042
201010,2010,10,26598,Bicycle,2732
201011,2010,11,8075,Bicycle,543
201012,2010,12,5967,Bicycle,257
201101,2011,1,644,Bicycle,33
201102,2011,2,820,Bicycle,70
201103,2011,3,3023,Bicycle,550
201104,2011,4,14154,Bicycle,1813
201105,2011,5,19805,Bicycle,3063
201106,2011,6,25239,Bicycle,5384
201107,2011,7,30842,Bicycle,4709
201108,2011,8,41489,Bicycle,7383
201109,2011,9,26023,Bicycle,4446
201110,2011,10,16243,Bicycle,2009
201111,2011,11,3591,Bicycle,318
201112,2011,12,1498,Bicycle,170
201201,2012,1,872,Bicycle,62
201202,2012,2,1305,Bicycle,78
201203,2012,3,3260,Bicycle,324
201204,2012,4,14749,Bicycle,1953
201205,2012,5,21776,Bicycle,3147
201206,2012,6,25517,Bicycle,4631
201207,2012,7,32818,Bicycle,4095
201208,2012,8,41096,Bicycle,6480
201209,2012,9,27321,Bicycle,4023
201210,2012,10,18091,Bicycle,2140
201211,2012,11,4170,Bicycle,389
201212,2012,12,1483,Bicycle,84
201301,2013,1,806,Bicycle,44
201302,2013,2,1382,Bicycle,112
201303,2013,3,7228,Bicycle,477
201304,2013,4,11532,Bicycle,1600
201305,2013,5,25205,Bicycle,3016
201306,2013,6,29374,Bicycle,5061
201307,2013,7,36559,Bicycle,3989
201308,2013,8,46726,Bicycle,6176
201309,2013,9,30894,Bicycle,4001
201310,2013,10,19607,Bicycle,1692
201311,2013,11,4907,Bicycle,376
201312,2013,12,1659,Bicycle,105
201401,2014,1,906,Bicycle,43
201402,2014,2,970,Bicycle,24
201403,2014,3,3150,Bicycle,268
201404,2014,4,17347,Bicycle,1779
201405,2014,5,27354,Bicycle,3129
201406,2014,6,33021,Bicycle,4586
201407,2014,7,39581,Bicycle,3707
201408,2014,8,51218,Bicycle,5834
201409,2014,9,34457,Bicycle,3821
201410,2014,10,23205,Bicycle,1702
201411,2014,11,4803,Bicycle,305
201412,2014,12,1870,Bicycle,127
201501,2015,1,1217,Bicycle,59
201502,2015,2,1544,Bicycle,76
201503,2015,3,5080,Bicycle,270
201504,2015,4,17721,Bicycle,1485
201505,2015,5,31076,Bicycle,3943
201506,2015,6,35923,Bicycle,4431
201507,2015,7,44794,Bicycle,3589
201508,2015,8,54794,Bicycle,5500
201509,2015,9,37429,Bicycle,3802
201510,2015,10,25576,Bicycle,1740
201511,2015,11,5228,Bicycle,299
201512,2015,12,2062,Bicycle,149
201601,2016,1,1304,Bicycle,30
201602,2016,2,1733,Bicycle,85
201603,2016,3,11067,Bicycle,698
201604,2016,4,15100,Bicycle,1215
201605,2016,5,32776,Bicycle,2920
201606,2016,6,39070,Bicycle,4231
201607,2016,7,45471,Bicycle,3379
201608,2016,8,53704,Bicycle,4967
201609,2016,9,40149,Bicycle,3538
201610,2016,10,28222,Bicycle,1819
201611,2016,11,6394,Bicycle,324
201612,2016,12,2864,Bicycle,141
201701,2017,1,1354,Bicycle,53
201702,2017,2,1696,Bicycle,57
201703,2017,3,5176,Bicycle,262
201704,2017,4,26925,Bicycle,2004
201705,2017,5,35347,Bicycle,2907
201706,2017,6,41619,Bicycle,3631
201707,2017,7,47470,Bicycle,3272
201708,2017,8,57680,Bicycle,4199
201709,2017,9,42189,Bicycle,3203
201710,2017,10,31341,Bicycle,1848
201711,2017,11,7346,Bicycle,334
201712,2017,12,2893,Bicycle,163
201801,2018,1,1627,Bicycle,51
201802,2018,2,2181,Bicycle,96
201803,2018,3,11056,Bicycle,332
201804,2018,4,22068,Bicycle,1227
201805,2018,5,40665,Bicycle,2923
201806,2018,6,45685,Bicycle,3789
201807,2018,7,50867,Bicycle,2720
201808,2018,8,60415,Bicycle,3883
201809,2018,9,47006,Bicycle,3299
201810,2018,10,35602,Bicycle,2045
201811,2018,11,7651,Bicycle,331
201812,2018,12,2553,Bicycle,90
201901,2019,1,1651,Bicycle,51
201902,2019,2,2119,Bicycle,55
201903,2019,3,7474,Bicycle,329
201904,2019,4,31722,Bicycle,1543
201905,2019,5,46673,Bicycle,2752
201906,2019,6,49058,Bicycle,4100
201907,2019,7,53319,Bicycle,2516
201908,2019,8,62814,Bicycle,3709
201909,2019,9,45653,Bicycle,2565
201910,2019,10,36118,Bicycle,1527
201911,2019,11,8274,Bicycle,323
201912,2019,12,2710,Bicycle,93
202001,2020,1,2001,Bicycle,66
202002,2020,2,3076,Bicycle,101
202003,2020,3,1948,Bicycle,58
202006,2020,6,12,Bicycle,0
202007,2020,7,9752,Bicycle,736
202008,2020,8,19812,Bicycle,1798
202009,2020,9,10441,Bicycle,1123
202010,2020,10,6418,Bicycle,581
202011,2020,11,585,Bicycle,18
202012,2020,12,99,Bicycle,12
202101,2021,1,60,Bicycle,2
202102,2021,2,14,Bicycle,2
202103,2021,3,194,Bicycle,5
202104,2021,4,1024,Bicycle,26
202105,2021,5,4295,Bicycle,387
202106,2021,6,14824,Bicycle,1473
202107,2021,7,33963,Bicycle,2148
202108,2021,8,43575,Bicycle,2132
202109,2021,9,37463,Bicycle,2240
202110,2021,10,31170,Bicycle,1875
202111,2021,11,9094,Bicycle,405
202112,2021,12,1193,Bicycle,21
202201,2022,1,1617,Bicycle,29
202202,2022,2,2034,Bicycle,62
202203,2022,3,7389,Bicycle,197
202204,2022,4,34283,Bicycle,1522
202205,2022,5,48254,Bicycle,2880
202206,2022,6,58012,Bicycle,4417
202207,2022,7,67374,Bicycle,3222
202208,2022,8,85842,Bicycle,3703
202209,2022,9,66196,Bicycle,3777
202210,2022,10,51356,Bicycle,2522
200401,2004,1,643,Other trans,0
200402,2004,2,1401,Other trans,3
200403,2004,3,3105,Other trans,40
200404,2004,4,15554,Other trans,100
200405,2004,5,16860,Other trans,185
200406,2004,6,19295,Other trans,187
200407,2004,7,31891,Other trans,363
200408,2004,8,45601,Other trans,395
200409,2004,9,22752,Other trans,249
200410,2004,10,14556,Other trans,109
200411,2004,11,4410,Other trans,36
200412,2004,12,3802,Other trans,64
200501,2005,1,269,Other trans,1
200502,2005,2,565,Other trans,0
200503,2005,3,3121,Other trans,10
200504,2005,4,3307,Other trans,10
200505,2005,5,9310,Other trans,42
200506,2005,6,12619,Other trans,20
200507,2005,7,18804,Other trans,76
200508,2005,8,24831,Other trans,74
200509,2005,9,12168,Other trans,13
200510,2005,10,6873,Other trans,15
200511,2005,11,1388,Other trans,1
200512,2005,12,668,Other trans,3
200601,2006,1,324,Other trans,2
200602,2006,2,351,Other trans,0
200603,2006,3,1096,Other trans,4
200604,2006,4,7451,Other trans,27
200605,2006,5,10147,Other trans,31
200606,2006,6,13011,Other trans,49
200607,2006,7,18720,Other trans,63
200608,2006,8,26183,Other trans,53
200609,2006,9,13470,Other trans,34
200610,2006,10,7700,Other trans,28
200611,2006,11,1755,Other trans,13
200612,2006,12,848,Other trans,1
200701,2007,1,350,Other trans,0
200702,2007,2,665,Other trans,0
200703,2007,3,1680,Other trans,12
200704,2007,4,8115,Other trans,37
200705,2007,5,12924,Other trans,26
200706,2007,6,15182,Other trans,47
200707,2007,7,20156,Other trans,47
200708,2007,8,27289,Other trans,93
200709,2007,9,15282,Other trans,51
200710,2007,10,9443,Other trans,51
200711,2007,11,2496,Other trans,7
200712,2007,12,795,Other trans,0
200801,2008,1,306,Other trans,0
200802,2008,2,703,Other trans,0
200803,2008,3,5327,Other trans,34
200804,2008,4,5648,Other trans,7
200805,2008,5,16001,Other trans,52
200806,2008,6,15904,Other trans,35
200807,2008,7,21066,Other trans,44
200808,2008,8,29996,Other trans,63
200809,2008,9,17378,Other trans,66
200810,2008,10,9878,Other trans,27
200811,2008,11,2309,Other trans,4
200812,2008,12,1085,Other trans,0
200901,2009,1,523,Other trans,1
200902,2009,2,698,Other trans,0
200903,2009,3,1850,Other trans,11
200904,2009,4,10316,Other trans,46
200905,2009,5,16498,Other trans,50
200906,2009,6,19354,Other trans,48
200907,2009,7,26752,Other trans,58
200908,2009,8,35546,Other trans,89
200909,2009,9,20623,Other trans,55
200910,2009,10,11731,Other trans,14
200911,2009,11,2353,Other trans,5
200912,2009,12,1010,Other trans,4
201001,2010,1,1188,Other trans,15
201002,2010,2,1640,Other trans,4
201003,2010,3,5883,Other trans,2
201004,2010,4,19587,Other trans,209
201005,2010,5,28846,Other trans,125
201006,2010,6,33756,Other trans,155
201007,2010,7,42466,Other trans,195
201008,2010,8,61534,Other trans,202
201009,2010,9,36848,Other trans,141
201010,2010,10,26598,Other trans,120
201011,2010,11,8075,Other trans,27
201012,2010,12,5967,Other trans,72
201101,2011,1,644,Other trans,1
201102,2011,2,820,Other trans,0
201103,2011,3,3023,Other trans,1
201104,2011,4,14154,Other trans,37
201105,2011,5,19805,Other trans,55
201106,2011,6,25239,Other trans,49
201107,2011,7,30842,Other trans,52
201108,2011,8,41489,Other trans,42
201109,2011,9,26023,Other trans,59
201110,2011,10,16243,Other trans,47
201111,2011,11,3591,Other trans,9
201112,2011,12,1498,Other trans,0
201201,2012,1,872,Other trans,0
201202,2012,2,1305,Other trans,6
201203,2012,3,3260,Other trans,4
201204,2012,4,14749,Other trans,43
201205,2012,5,21776,Other trans,31
201206,2012,6,25517,Other trans,33
201207,2012,7,32818,Other trans,33
201208,2012,8,41096,Other trans,59
201209,2012,9,27321,Other trans,32
201210,2012,10,18091,Other trans,54
201211,2012,11,4170,Other trans,3
201212,2012,12,1483,Other trans,5
201301,2013,1,806,Other trans,2
201302,2013,2,1382,Other trans,10
201303,2013,3,7228,Other trans,70
201304,2013,4,11532,Other trans,67
201305,2013,5,25205,Other trans,151
201306,2013,6,29374,Other trans,169
201307,2013,7,36559,Other trans,214
201308,2013,8,46726,Other trans,135
201309,2013,9,30894,Other trans,125
201310,2013,10,19607,Other trans,79
201311,2013,11,4907,Other trans,15
201312,2013,12,1659,Other trans,6
201401,2014,1,906,Other trans,1
201402,2014,2,970,Other trans,1
201403,2014,3,3150,Other trans,5
201404,2014,4,17347,Other trans,126
201405,2014,5,27354,Other trans,150
201406,2014,6,33021,Other trans,161
201407,2014,7,39581,Other trans,234
201408,2014,8,51218,Other trans,466
201409,2014,9,34457,Other trans,322
201410,2014,10,23205,Other trans,132
201411,2014,11,4803,Other trans,10
201412,2014,12,1870,Other trans,10
201501,2015,1,1217,Other trans,0
201502,2015,2,1544,Other trans,0
201503,2015,3,5080,Other trans,4
201504,2015,4,17721,Other trans,56
201505,2015,5,31076,Other trans,45
201506,2015,6,35923,Other trans,50
201507,2015,7,44794,Other trans,44
201508,2015,8,54794,Other trans,100
201509,2015,9,37429,Other trans,39
201510,2015,10,25576,Other trans,51
201511,2015,11,5228,Other trans,6
201512,2015,12,2062,Other trans,2
201601,2016,1,1304,Other trans,0
201602,2016,2,1733,Other trans,0
201603,2016,3,11067,Other trans,21
201604,2016,4,15100,Other trans,31
201605,2016,5,32776,Other trans,66
201606,2016,6,39070,Other trans,81
201607,2016,7,45471,Other trans,45
201608,2016,8,53704,Other trans,76
201609,2016,9,40149,Other trans,54
201610,2016,10,28222,Other trans,62
201611,2016,11,6394,Other trans,9
201612,2016,12,2864,Other trans,37
201701,2017,1,1354,Other trans,2
201702,2017,2,1696,Other trans,0
201703,2017,3,5176,Other trans,12
201704,2017,4,26925,Other trans,76
201705,2017,5,35347,Other trans,63
201706,2017,6,41619,Other trans,60
201707,2017,7,47470,Other trans,162
201708,2017,8,57680,Other trans,132
201709,2017,9,42189,Other trans,48
201710,2017,10,31341,Other trans,51
201711,2017,11,7346,Other trans,3
201712,2017,12,2893,Other trans,4
201801,2018,1,1627,Other trans,0
201802,2018,2,2181,Other trans,4
201803,2018,3,11056,Other trans,4
201804,2018,4,22068,Other trans,46
201805,2018,5,40665,Other trans,53
201806,2018,6,45685,Other trans,39
201807,2018,7,50867,Other trans,112
201808,2018,8,60415,Other trans,111
201809,2018,9,47006,Other trans,62
201810,2018,10,35602,Other trans,68
201811,2018,11,7651,Other trans,20
201812,2018,12,2553,Other trans,8
201901,2019,1,1651,Other trans,1
201902,2019,2,2119,Other trans,1
201903,2019,3,7474,Other trans,27
201904,2019,4,31722,Other trans,66
201905,2019,5,46673,Other trans,87
201906,2019,6,49058,Other trans,98
201907,2019,7,53319,Other trans,155
201908,2019,8,62814,Other trans,184
201909,2019,9,45653,Other trans,67
201910,2019,10,36118,Other trans,38
201911,2019,11,8274,Other trans,0
201912,2019,12,2710,Other trans,10
202001,2020,1,2001,Other trans,0
202002,2020,2,3076,Other trans,13
202003,2020,3,1948,Other trans,0
202006,2020,6,12,Other trans,0
202007,2020,7,9752,Other trans,18
202008,2020,8,19812,Other trans,26
202009,2020,9,10441,Other trans,16
202010,2020,10,6418,Other trans,13
202011,2020,11,585,Other trans,8
202012,2020,12,99,Other trans,0
202101,2021,1,60,Other trans,1
202102,2021,2,14,Other trans,0
202103,2021,3,194,Other trans,2
202104,2021,4,1024,Other trans,2
202105,2021,5,4295,Other trans,10
202106,2021,6,14824,Other trans,74
202107,2021,7,33963,Other trans,52
202108,2021,8,43575,Other trans,111
202109,2021,9,37463,Other trans,73
202110,2021,10,31170,Other trans,59
202111,2021,11,9094,Other trans,10
202112,2021,12,1193,Other trans,4
202201,2022,1,1617,Other trans,3
202202,2022,2,2034,Other trans,13
202203,2022,3,7389,Other trans,15
202204,2022,4,34283,Other trans,87
202205,2022,5,48254,Other trans,110
202206,2022,6,58012,Other trans,236
202207,2022,7,67374,Other trans,200
202208,2022,8,85842,Other trans,194
202209,2022,9,66196,Other trans,191
202210,2022,10,51356,Other trans,46
