ID,Year,Month,Foot,Bicycle,Total,Other trans
201308,2013,8,40415,6176,46726,135
201309,2013,9,26768,4001,30894,125
201310,2013,10,17836,1692,19607,79
201311,2013,11,4516,376,4907,15
201312,2013,12,1548,105,1659,6
201401,2014,1,862,43,906,1
201402,2014,2,945,24,970,1
201403,2014,3,2877,268,3150,5
201404,2014,4,15442,1779,17347,126
201405,2014,5,24075,3129,27354,150
201406,2014,6,28274,4586,33021,161
201407,2014,7,35640,3707,39581,234
201408,2014,8,44918,5834,51218,466
201409,2014,9,30314,3821,34457,322
201410,2014,10,21371,1702,23205,132
201411,2014,11,4488,305,4803,10
201412,2014,12,1733,127,1870,10
201501,2015,1,1158,59,1217,0
201502,2015,2,1468,76,1544,0
201503,2015,3,4806,270,5080,4
201504,2015,4,16180,1485,17721,56
201505,2015,5,27088,3943,31076,45
201506,2015,6,31442,4431,35923,50
201507,2015,7,41161,3589,44794,44
201508,2015,8,49194,5500,54794,100
201509,2015,9,33588,3802,37429,39
201510,2015,10,23785,1740,25576,51
201511,2015,11,4923,299,5228,6
201512,2015,12,1911,149,2062,2
201601,2016,1,1274,30,1304,0
201602,2016,2,1648,85,1733,0
201603,2016,3,10348,698,11067,21
201604,2016,4,13854,1215,15100,31
201605,2016,5,29790,2920,32776,66
201606,2016,6,34758,4231,39070,81
201607,2016,7,42047,3379,45471,45
201608,2016,8,48661,4967,53704,76
201609,2016,9,36557,3538,40149,54
201610,2016,10,26341,1819,28222,62
201611,2016,11,6061,324,6394,9
201612,2016,12,2686,141,2864,37
201701,2017,1,1299,53,1354,2
201702,2017,2,1639,57,1696,0
201703,2017,3,4902,262,5176,12
201704,2017,4,24845,2004,26925,76
201705,2017,5,32377,2907,35347,63
201706,2017,6,37928,3631,41619,60
201707,2017,7,44036,3272,47470,162
201708,2017,8,53349,4199,57680,132
201709,2017,9,38938,3203,42189,48
201710,2017,10,29442,1848,31341,51
201711,2017,11,7009,334,7346,3
201712,2017,12,2726,163,2893,4
201801,2018,1,1576,51,1627,0
201802,2018,2,2081,96,2181,4
201803,2018,3,10720,332,11056,4
201804,2018,4,20795,1227,22068,46
201805,2018,5,37689,2923,40665,53
201806,2018,6,41857,3789,45685,39
201807,2018,7,48035,2720,50867,112
201808,2018,8,56421,3883,60415,111
201809,2018,9,43645,3299,47006,62
201810,2018,10,33489,2045,35602,68
201811,2018,11,7300,331,7651,20
201812,2018,12,2455,90,2553,8
201901,2019,1,1599,51,1651,1
201902,2019,2,2063,55,2119,1
201903,2019,3,7118,329,7474,27
201904,2019,4,30113,1543,31722,66
201905,2019,5,43834,2752,46673,87
201906,2019,6,44860,4100,49058,98
201907,2019,7,50648,2516,53319,155
201908,2019,8,58921,3709,62814,184
201909,2019,9,43021,2565,45653,67
201910,2019,10,34553,1527,36118,38
201911,2019,11,7951,323,8274,0
201912,2019,12,2607,93,2710,10
202001,2020,1,1935,66,2001,0
202002,2020,2,2962,101,3076,13
202003,2020,3,1890,58,1948,0
202006,2020,6,12,0,12,0
202007,2020,7,8998,736,9752,18
202008,2020,8,17988,1798,19812,26
202009,2020,9,9302,1123,10441,16
202010,2020,10,5824,581,6418,13
202011,2020,11,559,18,585,8
202012,2020,12,87,12,99,0
202101,2021,1,57,2,60,1
202102,2021,2,12,2,14,0
202103,2021,3,187,5,194,2
202104,2021,4,996,26,1024,2
202105,2021,5,3898,387,4295,10
202106,2021,6,13277,1473,14824,74
202107,2021,7,31763,2148,33963,52
202108,2021,8,41332,2132,43575,111
202109,2021,9,35150,2240,37463,73
202110,2021,10,29236,1875,31170,59
202111,2021,11,8679,405,9094,10
202112,2021,12,1168,21,1193,4
202201,2022,1,1585,29,1617,3
202202,2022,2,1959,62,2034,13
202203,2022,3,7177,197,7389,15
202204,2022,4,32674,1522,34283,87
202205,2022,5,45264,2880,48254,110
202206,2022,6,53359,4417,58012,236
202207,2022,7,63952,3222,67374,200
202208,2022,8,81945,3703,85842,194
202209,2022,9,62228,3777,66196,191
202210,2022,10,48788,2522,51356,46
