ID,Year,Month,Europa,Oceania,Asia,Africa,Total,America
201410,2014,10,17253,914,1063,127,23205,3848
201411,2014,11,3470,167,445,14,4803,707
201412,2014,12,1518,24,153,4,1870,171
201501,2015,1,837,11,229,2,1217,138
201502,2015,2,1224,6,184,5,1544,125
201503,2015,3,4403,38,213,6,5080,420
201504,2015,4,15113,285,596,106,17721,1621
201505,2015,5,24848,769,941,128,31076,4390
201506,2015,6,28542,811,906,210,35923,5454
201507,2015,7,39503,441,857,128,44794,3865
201508,2015,8,51627,263,800,61,54794,2043
201509,2015,9,31174,836,791,203,37429,4425
201510,2015,10,18538,896,1079,110,25576,4953
201511,2015,11,3815,168,431,13,5228,801
201512,2015,12,1653,29,188,5,2062,187
201601,2016,1,911,18,212,7,1304,156
201602,2016,2,1291,9,303,3,1733,127
201603,2016,3,9789,57,312,30,11067,879
201604,2016,4,12586,245,654,46,15100,1569
201605,2016,5,25390,1030,1172,133,32776,5051
201606,2016,6,30783,962,1148,156,39070,6021
201607,2016,7,39630,444,855,133,45471,4409
201608,2016,8,50205,316,840,62,53704,2281
201609,2016,9,32869,944,801,139,40149,5396
201610,2016,10,20027,996,1414,130,28222,5655
201611,2016,11,4670,169,548,16,6394,991
201612,2016,12,2221,31,226,8,2864,378
201701,2017,1,934,23,246,5,1354,146
201702,2017,2,1199,16,298,0,1696,183
201703,2017,3,4313,38,252,11,5176,562
201704,2017,4,23146,333,756,123,26925,2567
201705,2017,5,26467,1080,1409,188,35347,6203
201706,2017,6,31602,1087,1275,257,41619,7398
201707,2017,7,41010,522,1118,212,47470,4608
201708,2017,8,53468,277,1030,127,57680,2778
201709,2017,9,34073,984,968,188,42189,5976
201710,2017,10,22067,1153,1491,153,31341,6477
201711,2017,11,5385,157,670,22,7346,1112
201712,2017,12,2316,68,240,2,2893,267
201801,2018,1,1113,27,257,2,1627,228
201802,2018,2,1646,14,285,16,2181,220
201803,2018,3,9609,74,304,30,11056,1039
201804,2018,4,18213,405,773,136,22068,2541
201805,2018,5,30602,1078,1689,0,40665,7022
201806,2018,6,34943,1109,1755,259,45685,7619
201807,2018,7,44197,514,1079,302,50867,4775
201808,2018,8,55714,286,1094,180,60415,3141
201809,2018,9,37204,1144,1117,409,47006,7132
201810,2018,10,25496,1267,1852,273,35602,6714
201811,2018,11,5507,219,724,23,7651,1178
201812,2018,12,1872,44,303,9,2553,325
201901,2019,1,1125,27,269,2,1651,228
201902,2019,2,1535,17,359,3,2119,205
201903,2019,3,6215,63,307,35,7474,854
201904,2019,4,26875,441,999,172,31722,3235
201905,2019,5,34991,1195,2288,331,46673,7868
201906,2019,6,37020,1108,2139,398,49058,8393
201907,2019,7,45856,564,1570,278,53319,5051
201908,2019,8,57507,319,1502,233,62814,3253
201909,2019,9,34940,1154,1529,519,45653,7511
201910,2019,10,24871,1103,2505,295,36118,7344
201911,2019,11,5617,212,1058,50,8274,1337
201912,2019,12,1938,56,414,21,2710,281
202001,2020,1,1248,44,440,5,2001,264
202002,2020,2,2325,18,442,9,3076,282
202003,2020,3,1586,15,124,2,1948,221
202006,2020,6,12,0,0,0,12,0
202007,2020,7,9455,4,42,12,9752,239
202008,2020,8,19074,18,73,25,19812,622
202009,2020,9,9955,15,50,14,10441,407
202010,2020,10,6089,11,34,13,6418,271
202011,2020,11,525,5,12,1,585,42
202012,2020,12,83,1,9,0,99,6
202101,2021,1,54,0,1,0,60,5
202102,2021,2,13,0,0,0,14,1
202103,2021,3,175,0,4,0,194,15
202104,2021,4,956,0,8,1,1024,59
202105,2021,5,4119,1,23,4,4295,148
202106,2021,6,14229,9,46,13,14824,527
202107,2021,7,32004,29,155,52,33963,1723
202108,2021,8,41800,17,193,53,43575,1511
202109,2021,9,33836,31,212,47,37463,3337
202110,2021,10,26840,38,238,39,31170,4015
202111,2021,11,7756,9,198,19,9094,1112
202112,2021,12,1084,5,22,3,1193,79
202201,2022,1,1347,5,51,0,1617,214
202202,2022,2,1735,5,61,3,2034,230
202203,2022,3,6302,19,98,19,7389,951
202204,2022,4,29635,101,552,86,34283,3909
202205,2022,5,37865,286,1208,174,48254,8721
202206,2022,6,47309,510,999,188,58012,9006
202207,2022,7,59466,277,847,258,67374,6526
202208,2022,8,80892,240,833,129,85842,3748
202209,2022,9,53939,642,1126,305,66196,10184
202210,2022,10,38049,693,2249,247,51356,10118
